id;devoxx;description;sort_order;date_added;date_modified;status
1;mobile Fish;Home Loan Account Table Computer;5808;2019-11-07;2019-11-06;AVAILABLE
2;Tasty Metal Bacon;red Chips Soap;30424;2019-11-06;2019-11-07;RESTRICTED
3;Namibia;Steel zero administration;36636;2019-11-07;2019-11-07;DISABLED
4;syndicate;Mississippi Refined Rubber Chicken Table;6505;2019-11-07;2019-11-06;AVAILABLE
5;Public-key;infomediaries;12203;2019-11-06;2019-11-07;RESTRICTED
6;copy convergence;Mayotte;18485;2019-11-07;2019-11-06;DISABLED
7;capacitor archive;sky blue Tasty Plastic Pizza;38867;2019-11-06;2019-11-07;RESTRICTED
8;Home Loan Account;Plastic;80219;2019-11-07;2019-11-07;RESTRICTED
9;reinvent 24 hour Jewelery;monitor;72900;2019-11-06;2019-11-06;DISABLED
10;generating Highway Ergonomic;moratorium moratorium;72960;2019-11-06;2019-11-06;RESTRICTED
